[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 22.14s | SP: 35.00 | SPD R: 35.78 | DUTY R: 64 | [P]-3.91 [I]42.03 [D]-10.48 (Err: -0.78) 
T: 22.39s | SP: 35.00 | SPD L: 32.63 | DUTY L: 75 | [P]11.87 [I]48.45 [D]-10.49 (Err: 2.37) 
T: 22.39s | SP: 35.00 | SPD R: 33.68 | DUTY R: 70 | [P]6.61 [I]42.92 [D]-10.49 (Err: 1.32) 
T: 22.64s | SP: 35.00 | SPD L: 34.73 | DUTY L: 76 | [P]1.35 [I]49.93 [D]0.00 (Err: 0.27) 
T: 22.64s | SP: 35.00 | SPD R: 33.68 | DUTY R: 70 | [P]6.61 [I]44.84 [D]-10.49 (Err: 1.32) 
T: 22.89s | SP: 35.00 | SPD L: 36.84 | DUTY L: 65 | [P]-9.18 [I]49.91 [D]-10.49 (Err: -1.84) 
T: 22.89s | SP: 35.00 | SPD R: 35.78 | DUTY R: 66 | [P]-3.91 [I]45.62 [D]-10.49 (Err: -0.78) 
T: 23.14s | SP: 35.00 | SPD L: 35.78 | DUTY L: 73 | [P]-3.91 [I]49.60 [D]0.00 (Err: -0.78) 
T: 23.14s | SP: 35.00 | SPD R: 35.78 | DUTY R: 71 | [P]-3.91 [I]45.50 [D]0.00 (Err: -0.78) 
T: 23.40s | SP: 35.00 | SPD L: 34.73 | DUTY L: 76 | [P]1.35 [I]49.86 [D]0.00 (Err: 0.27) 
T: 23.40s | SP: 35.00 | SPD R: 35.78 | DUTY R: 71 | [P]-3.91 [I]45.16 [D]0.00 (Err: -0.78) 
